Player Name,Pos.,Birthdate,Birthplace,Country,Seasons,GP,G,A,Pts,PIM,Yrs.,Birthplace_original,Country_original
Murray Baron,D,01-06-1967,"Prince George, BC, Canada",Canada,1989-2004,988,35,94,129,1309,15,"Prince George, BC, Canada",Canada
Murray Brumwell,D,31-03-1960,"Calgary, AB, Canada",Canada,1980-1988,128,12,31,43,70,7,"Calgary, AB, Canada",Canada
Murray Costello,C,24-02-1934,"South Porcupine, ON, Canada",Canada,1953-1957,163,13,19,32,54,4,"South Porcupine, ON, Canada",Canada
Murray Craven,C,25-07-1964,"Medicine Hat, AB, Canada",Canada,1982-2000,1071,266,493,759,524,18,"Medicine Hat, AB, Canada",Canada
Murray Davison,D,10-06-1938,"Brantford, ON, Canada",Canada,1965-1966,1,0,0,0,0,1,"Brantford, ON, Canada",Canada
Murray Eaves,F,10-05-1960,"Calgary, AB, Canada",Canada,1980-1990,57,4,13,17,9,8,"Calgary, AB, Canada",Canada
Murray Hall,R,24-11-1940,"Kirkland Lake, ON, Canada",Canada,1961-1972,164,35,48,83,46,9,"Kirkland Lake, ON, Canada",Canada
Murray Henderson,D,05-09-1921,"Toronto, ON, Canada",Canada,1944-1952,405,24,62,86,305,8,"Toronto, ON, Canada",Canada
Murray Kuntz,L,19-12-1945,"Ottawa, ON, Canada",Canada,1974-1975,7,1,2,3,0,1,"Ottawa, ON, Canada",Canada
Murray McLachlan,G,20-10-1948,"London, ON, Canada",Canada,1970-1971,2,0,0,0,0,1,"London, ON, Canada",Canada
Murray Murdoch,L,19-05-1904,"Lucknow, ON, Canada",Canada,1926-1937,507,84,108,192,197,11,"Lucknow, ON, Canada",Canada
Murray Oliver,C,14-11-1937,"Hamilton, ON, Canada",Canada,1957-1975,1127,274,454,728,319,17,"Hamilton, ON, Canada",Canada
Murray Wilson,F,11-11-1951,"Toronto, ON, Canada",Canada,1972-1979,386,94,95,189,162,7,"Toronto, ON, Canada",Canada
Murray Wing,D,14-10-1950,"Thunder Bay, ON, Canada",Canada,1973-1974,1,0,1,1,0,1,"Thunder Bay, ON, Canada",Canada
Myles O'Connor,D,02-04-1967,"Calgary, AB, Canada",Canada,1990-1994,43,3,4,7,69,4,"Calgary, AB, Canada",Canada
Myron Stankiewicz,L,04-12-1935,"Kitchener, ON, Canada",Canada,1968-1969,35,0,7,7,36,1,"Kitchener, ON, Canada",Canada
"Napoleon ""Bunny"" Dame",L,06-12-1913,"Edmonton, AB, Canada",Canada,1941-1942,34,2,5,7,4,1,"Edmonton, AB, Canada",Canada
Nate Danielson,C,27-09-2004,"Edmonton, AB, Canada",Canada,2025-2026,28,2,5,7,4,1,"Edmonton, AB, Canada",Canada
Nathan Bastian,R,06-12-1997,"Kitchener, ON, Canada",Canada,2018-2026,312,39,36,75,211,7,"Kitchener, ON, Canada",Canada
Nathan Beaulieu,D,05-12-1992,"Strathroy, ON, Canada",Canada,2012-2023,471,12,86,98,340,11,"Strathroy, ON, Canada",Canada
Nathan Dempsey,D,14-07-1974,"Spruce Grove, AB, Canada",Canada,1996-2007,260,21,67,88,120,8,"Spruce Grove, AB, Canada",Canada
Nathan Gaucher,C,06-11-2003,"Richelieu, QC, Canada",Canada,2025-2026,3,0,0,0,0,1,"Richelieu, QC, Canada",Canada
Nathan Horton,R,29-05-1985,"Welland, ON, Canada",Canada,2003-2014,626,203,218,421,567,10,"Welland, ON, Canada",Canada
Nathan LaFayette,C,17-02-1973,"New Westminster, BC, Canada",Canada,1993-1999,187,17,20,37,103,6,"New Westminster, BC, Canada",Canada
Nathan Lawson,G,29-09-1983,"Calgary, AB, Canada",Canada,2010-2014,11,0,0,0,0,2,"Calgary, AB, Canada",Canada
Nathan Legare,R,11-01-2001,"Montreal, QC, Canada",Canada,2024-2026,4,0,0,0,0,2,"Montreal, QC, Canada",Canada
Nathan Lieuwen,G,08-08-1991,"Abbotsford, BC, Canada",Canada,2013-2014,7,0,0,0,0,1,"Abbotsford, BC, Canada",Canada
Nathan MacKinnon,C,01-09-1995,"Halifax, NS, Canada",Canada,2013-2026,950,420,722,1142,428,13,"Halifax, NS, Canada",Canada
Nathan McIver,D,06-01-1985,"Summerside, PE, Canada",Canada,2006-2009,36,0,1,1,95,3,"Summerside, PE, Canada",Canada
Nathan Oystrick,D,17-12-1982,"Regina, SK, Canada",Canada,2008-2011,65,5,10,15,61,3,"Regina, SK, Canada",Canada
Nathan Paetsch,D,30-03-1983,"LeRoy, SK, Canada",Canada,2005-2010,167,7,35,42,114,5,"LeRoy, SK, Canada",Canada
Nathan Perrott,R,08-12-1976,"Owen Sound, ON, Canada",Canada,2001-2006,89,4,5,9,251,4,"Owen Sound, ON, Canada",Canada
Nathan Robinson,C,31-12-1981,"Scarborough, ON, Canada",Canada,2003-2006,7,0,0,0,2,2,"Scarborough, ON, Canada",Canada
Nathan Smith,C,09-02-1982,"Edmonton, AB, Canada",Canada,2003-2010,26,0,0,0,14,5,"Edmonton, AB, Canada",Canada
Nazem Kadri,C,06-10-1990,"London, ON, Canada",Canada,2009-2026,1062,323,437,760,790,17,"London, ON, Canada",Canada
Neal Coulter,R,02-01-1963,"Toronto, ON, Canada",Canada,1985-1988,26,5,5,10,11,3,"Toronto, ON, Canada",Canada
Neil Belland,D,03-04-1961,"Parry Sound, ON, Canada",Canada,1981-1987,109,13,32,45,54,6,"Parry Sound, ON, Canada",Canada
Neil Brady,C,12-04-1968,"Montreal, QC, Canada",Canada,1989-1994,89,9,22,31,95,5,"Montreal, QC, Canada",Canada
Neil Colville,C,04-08-1914,"Edmonton, AB, Canada",Canada,1935-1949,464,99,166,265,213,12,"Edmonton, AB, Canada",Canada
Neil Eisenhut,C,09-02-1967,"Osoyoos, BC, Canada",Canada,1993-1995,16,1,3,4,21,2,"Osoyoos, BC, Canada",Canada
Neil Hawryliw,L,19-11-1955,"Fielding, SK, Canada",Canada,1981-1982,1,0,0,0,0,1,"Fielding, SK, Canada",Canada
Neil Komadoski,D,05-11-1951,"Winnipeg, MB, Canada",Canada,1972-1980,502,16,76,92,632,8,"Winnipeg, MB, Canada",Canada
Neil LaBatte,D,24-04-1957,"Don Mills, ON, Canada",Canada,1978-1982,26,0,2,2,19,2,"Don Mills, ON, Canada",Canada
Neil Little,G,18-12-1971,"Medicine Hat, AB, Canada",Canada,2001-2004,2,0,0,0,10,2,"Medicine Hat, AB, Canada",Canada
Neil Nicholson,D,12-09-1949,"Saint John, NB, Canada",Canada,1969-1978,39,3,1,4,23,4,"Saint John, NB, Canada",Canada
Neil Sheehy,D,09-02-1960,"Fort Frances, ON, Canada",Canada,1983-1992,379,18,47,65,1311,9,"Fort Frances, ON, Canada",Canada
Neil Strain,L,24-02-1926,"Kenora, ON, Canada",Canada,1952-1953,52,11,13,24,12,1,"Kenora, ON, Canada",Canada
Neil Wilkinson,D,15-08-1967,"Selkirk, MB, Canada",Canada,1989-1999,460,16,67,83,813,10,"Selkirk, MB, Canada",Canada
Nels Crutchfield,C,12-07-1911,"Knowlton, QC, Canada",Canada,1934-1935,41,5,5,10,20,1,"Knowlton, QC, Canada",Canada
Nels Podolsky,L,19-12-1925,"Winnipeg, MB, Canada",Canada,1948-1949,1,0,0,0,0,1,"Winnipeg, MB, Canada",Canada
Nels Stewart,C,29-12-1902,"Montreal, QC, Canada",Canada,1925-1940,652,324,191,515,943,15,"Montreal, QC, Canada",Canada
Nelson Burton,L,06-11-1957,"Sydney, NS, Canada",Canada,1977-1979,8,1,0,1,21,2,"Sydney, NS, Canada",Canada
Nelson Emerson,R,17-08-1967,"Hamilton, ON, Canada",Canada,1990-2002,771,195,293,488,575,12,"Hamilton, ON, Canada",Canada
Nelson Nogier,D,27-05-1996,"Saskatoon, SK, Canada",Canada,2016-2019,11,0,0,0,5,2,"Saskatoon, SK, Canada",Canada
Nelson Pyatt,C,09-09-1953,"Port Arthur, ON, Canada",Canada,1973-1980,296,71,63,134,69,7,"Port Arthur, ON, Canada",Canada
Nevin Markwart,F,09-12-1964,"Toronto, ON, Canada",Canada,1983-1992,309,41,68,109,794,8,"Toronto, ON, Canada",Canada
Nicholas Caamano,R,07-09-1998,"Ancaster, ON, Canada",Canada,2019-2021,36,1,2,3,21,2,"Ancaster, ON, Canada",Canada
Nicholas Vachon,L,20-07-1972,"Montreal, QC, Canada",Canada,1996-1997,1,0,0,0,0,1,"Montreal, QC, Canada",Canada
Nick Baptiste,R,04-08-1995,"Ottawa, ON, Canada",Canada,2016-2018,47,7,3,10,20,2,"Ottawa, ON, Canada",Canada
Nick Beverley,D,21-04-1947,"Toronto, ON, Canada",Canada,1966-1980,502,18,94,112,156,11,"Toronto, ON, Canada",Canada
Nick Boynton,D,14-01-1979,"Nobleton, ON, Canada",Canada,1999-2011,605,34,110,144,862,11,"Nobleton, ON, Canada",Canada
Nick Cicek,D,29-05-2000,"Winnipeg, MB, Canada",Canada,2022-2023,16,0,4,4,15,1,"Winnipeg, MB, Canada",Canada
Nick Cousins,C,20-07-1993,"Belleville, ON, Canada",Canada,2014-2026,723,86,132,218,445,12,"Belleville, ON, Canada",Canada
Nick Damore,G,10-07-1916,"Niagara Falls, ON, Canada",Canada,1941-1942,1,0,0,0,0,1,"Niagara Falls, ON, Canada",Canada
Nick Drazenovic,C,14-01-1987,"Prince George, BC, Canada",Canada,2010-2014,12,0,0,0,6,3,"Prince George, BC, Canada",Canada
Nick Holden,D,15-05-1987,"St. Albert, AB, Canada",Canada,2010-2023,654,52,126,178,174,12,"St. Albert, AB, Canada",Canada
Nick Johnson,R,24-12-1985,"Calgary, AB, Canada",Canada,2009-2014,113,14,23,37,52,5,"Calgary, AB, Canada",Canada
Nick Kypreos,L,04-06-1966,"Toronto, ON, Canada",Canada,1989-1997,442,46,44,90,1210,8,"Toronto, ON, Canada",Canada
Nick Lardis,R,08-07-2005,"Oakville, ON, Canada",Canada,2025-2026,41,10,5,15,10,1,"Oakville, ON, Canada",Canada
Nick Libett,L,09-12-1945,"Stratford, ON, Canada",Canada,1967-1981,982,237,268,505,472,14,"Stratford, ON, Canada",Canada
Nick Merkley,R,23-05-1997,"Calgary, AB, Canada",Canada,2017-2022,41,4,11,15,11,4,"Calgary, AB, Canada",Canada
Nick Metz,L,16-02-1914,"Wilcox, SK, Canada",Canada,1934-1948,518,131,119,250,149,12,"Wilcox, SK, Canada",Canada
Nick Mickoski,R,07-12-1927,"Winnipeg, MB, Canada",Canada,1947-1960,705,158,184,342,319,13,"Winnipeg, MB, Canada",Canada
Nick Paul,L,20-03-1995,"Mississauga, ON, Canada",Canada,2015-2026,537,104,110,214,214,11,"Mississauga, ON, Canada",Canada
Nick Ricci,G,03-06-1959,"Niagara Falls, ON, Canada",Canada,1979-1983,19,0,0,0,2,4,"Niagara Falls, ON, Canada",Canada
Nick Ritchie,L,05-12-1995,"Orangeville, ON, Canada",Canada,2015-2023,481,84,102,186,483,8,"Orangeville, ON, Canada",Canada
Nick Schultz,D,25-08-1982,"Strasbourg, SK, Canada",Canada,2001-2017,1069,30,145,175,483,15,"Strasbourg, SK, Canada",Canada
Nick Smith,C,23-03-1979,"Hamilton, ON, Canada",Canada,2001-2002,15,0,0,0,0,1,"Hamilton, ON, Canada",Canada
Nick Spaling,L,19-09-1988,"Palmerston, ON, Canada",Canada,2009-2016,437,52,72,124,120,7,"Palmerston, ON, Canada",Canada
Nick Stajduhar,D,06-12-1974,"Kitchener, ON, Canada",Canada,1995-1996,2,0,0,0,4,1,"Kitchener, ON, Canada",Canada
Nick Suzuki,C,10-08-1999,"London, ON, Canada",Canada,2019-2026,537,167,309,476,167,7,"London, ON, Canada",Canada
Nick Tarnasky,C,25-11-1984,"Rocky Mountain House, AB, Canada",Canada,2005-2010,245,13,17,30,297,5,"Rocky Mountain House, AB, Canada",Canada
Nick Wasnie,R,28-01-1905,"Winnipeg, MB, Canada",Canada,1927-1935,250,57,34,91,176,7,"Winnipeg, MB, Canada",Canada
Nicolas Aube-Kubel,R,10-05-1996,"Slave Lake, AB, Canada",Canada,2018-2026,310,32,50,82,208,8,"Slave Lake, AB, Canada",Canada
Nicolas Beaudin,D,07-10-1999,"Chateauguay, QC, Canada",Canada,2019-2022,22,2,4,6,2,3,"Chateauguay, QC, Canada",Canada
Nicolas Blanchard,L,31-05-1987,"Granby, QC, Canada",Canada,2012-2013,9,0,0,0,20,1,"Granby, QC, Canada",Canada
Nicolas Deschamps,C,06-01-1990,"La Salle, QC, Canada",Canada,2013-2014,3,0,0,0,0,1,"La Salle, QC, Canada",Canada
Nicolas Deslauriers,L,22-02-1991,"La Salle, QC, Canada",Canada,2013-2026,708,53,53,106,799,13,"La Salle, QC, Canada",Canada
Nicolas Hague,D,05-12-1998,"Kitchener, ON, Canada",Canada,2019-2026,426,23,75,98,282,7,"Kitchener, ON, Canada",Canada
Nicolas Meloche,D,18-07-1997,"LaSalle, QC, Canada",Canada,2020-2022,57,2,6,8,39,2,"LaSalle, QC, Canada",Canada
Nicolas Petan,C,22-03-1995,"Delta, BC, Canada",Canada,2015-2024,170,7,28,35,46,9,"Delta, BC, Canada",Canada
Nicolas Roy,C,05-02-1997,"Amos, QC, Canada",Canada,2017-2026,443,76,115,191,194,9,"Amos, QC, Canada",Canada
Nigel Dawes,L,09-02-1985,"Winnipeg, MB, Canada",Canada,2006-2011,212,39,45,84,43,5,"Winnipeg, MB, Canada",Canada
Nils Tremblay,C,26-07-1923,"Murray Bay, QC, Canada",Canada,1944-1946,3,0,1,1,0,2,"Murray Bay, QC, Canada",Canada
Noah Dobson,D,07-01-2000,"Summerside, PE, Canada",Canada,2019-2026,468,62,215,277,152,7,"Summerside, PE, Canada",Canada
Noah Gregor,L,28-07-1998,"Beaumont, AB, Canada",Canada,2019-2026,330,40,39,79,142,7,"Beaumont, AB, Canada",Canada
Noah Juulsen,D,02-04-1997,"Surrey, BC, Canada",Canada,2017-2026,209,4,23,27,74,8,"Surrey, BC, Canada",Canada
Noah Philp,C,31-08-1998,"Canmore, AB, Canada",Canada,2024-2026,32,2,3,5,6,2,"Canmore, AB, Canada",Canada
Noel Picard,D,25-12-1938,"Montreal, QC, Canada",Canada,1964-1973,335,12,63,75,616,7,"Montreal, QC, Canada",Canada
Noel Price,D,09-12-1935,"Brockville, ON, Canada",Canada,1957-1976,499,14,114,128,333,14,"Brockville, ON, Canada",Canada
Nolan Allan,D,28-04-2003,"Saskatoon, SK, Canada",Canada,2024-2025,43,1,7,8,16,1,"Saskatoon, SK, Canada",Canada
Nolan Baumgartner,D,23-03-1976,"Calgary, AB, Canada",Canada,1995-2010,143,7,40,47,69,10,"Calgary, AB, Canada",Canada
Nolan Patrick,C,19-09-1998,"Winnipeg, MB, Canada",Canada,2017-2022,222,32,45,77,83,4,"Winnipeg, MB, Canada",Canada
Nolan Pratt,D,14-08-1975,"Fort McMurray, AB, Canada",Canada,1996-2008,592,9,56,65,537,11,"Fort McMurray, AB, Canada",Canada
Nolan Schaefer,G,15-01-1980,"Yellow Grass, SK, Canada",Canada,2005-2006,7,0,0,0,2,1,"Yellow Grass, SK, Canada",Canada
Nolan Yonkman,D,01-04-1981,"Punnichy, SK, Canada",Canada,2001-2014,76,1,9,10,140,7,"Punnichy, SK, Canada",Canada
"Norm ""Red"" Armstrong",R,17-10-1938,"Owen Sound, ON, Canada",Canada,1962-1963,7,1,1,2,2,1,"Owen Sound, ON, Canada",Canada
"Norm ""Rocky"" Farr",G,07-04-1947,"Toronto, ON, Canada",Canada,1972-1975,19,0,0,0,2,3,"Toronto, ON, Canada",Canada
Norm Barnes,D,24-08-1953,"Toronto, ON, Canada",Canada,1976-1982,156,6,38,44,178,5,"Toronto, ON, Canada",Canada
Norm Beaudin,R,28-11-1941,"Montmartre, SK, Canada",Canada,1967-1971,25,1,2,3,4,2,"Montmartre, SK, Canada",Canada
Norm Burns,C,20-02-1918,"Youngstown, AB, Canada",Canada,1941-1942,11,0,4,4,2,1,"Youngstown, AB, Canada",Canada
Norm Calladine,C,01-01-1916,"Peterborough, ON, Canada",Canada,1942-1945,63,19,29,48,8,3,"Peterborough, ON, Canada",Canada
Norm Corcoran,C,15-08-1931,"Toronto, ON, Canada",Canada,1949-1956,29,1,3,4,21,4,"Toronto, ON, Canada",Canada
Norm Defelice,G,19-01-1933,"Schumacher, ON, Canada",Canada,1956-1957,10,0,0,0,2,1,"Schumacher, ON, Canada",Canada
Norm Dennis,R,10-12-1942,"Aurora, ON, Canada",Canada,1968-1972,12,3,0,3,11,4,"Aurora, ON, Canada",Canada
Norm Dube,L,12-09-1951,"Sherbrooke, QC, Canada",Canada,1974-1976,57,8,10,18,54,2,"Sherbrooke, QC, Canada",Canada
Norm Dupont,L,05-02-1957,"Montreal, QC, Canada",Canada,1979-1984,256,55,85,140,52,5,"Montreal, QC, Canada",Canada
Norm Ferguson,C,16-10-1945,"Sydney, NS, Canada",Canada,1968-1972,279,73,66,139,72,4,"Sydney, NS, Canada",Canada
Norm Foster,G,10-02-1965,"Vancouver, BC, Canada",Canada,1990-1992,13,0,0,0,2,2,"Vancouver, BC, Canada",Canada
Norm Gratton,R,22-12-1950,"LaSalle, QC, Canada",Canada,1971-1976,201,39,45,84,64,5,"LaSalle, QC, Canada",Canada
Norm Johnson,C,27-11-1932,"Moose Jaw, SK, Canada",Canada,1957-1960,61,5,20,25,41,3,"Moose Jaw, SK, Canada",Canada
Norm Larson,R,13-10-1920,"Moose Jaw, SK, Canada",Canada,1940-1947,89,25,18,43,12,3,"Moose Jaw, SK, Canada",Canada
Norm Locking,L,24-05-1911,"Owen Sound, ON, Canada",Canada,1934-1936,52,2,6,8,26,2,"Owen Sound, ON, Canada",Canada
Norm Maciver,D,08-09-1964,"Thunder Bay, ON, Canada",Canada,1986-1998,500,55,230,285,350,12,"Thunder Bay, ON, Canada",Canada
Norm Maracle,G,02-10-1974,"Belleville, ON, Canada",Canada,1997-2002,66,0,0,0,0,5,"Belleville, ON, Canada",Canada
Norm McAtee,W,28-06-1921,"Stratford, ON, Canada",Canada,1946-1947,13,0,1,1,0,1,"Stratford, ON, Canada",Canada
Norm Milley,R,14-02-1980,"Toronto, ON, Canada",Canada,2001-2006,29,2,4,6,12,4,"Toronto, ON, Canada",Canada
Norm Schmidt,D,24-01-1963,"Sault Ste. Marie, ON, Canada",Canada,1983-1988,125,23,33,56,73,4,"Sault Ste. Marie, ON, Canada",Canada
Norm Ullman,C,26-12-1935,"Provost, AB, Canada",Canada,1955-1975,1410,490,739,1229,712,20,"Provost, AB, Canada",Canada
"Norman ""Bud"" Poile",R,10-02-1924,"Fort William, ON, Canada",Canada,1942-1950,311,107,122,229,88,7,"Fort William, ON, Canada",Canada
"Norman ""Dodger"" Collings",F,06-05-1910,"Bradford, ON, Canada",Canada,1934-1935,1,0,1,1,0,1,"Bradford, ON, Canada",Canada
"Norman ""Dutch"" Gainor",C,10-04-1904,"Calgary, AB, Canada",Canada,1927-1935,242,51,56,107,129,7,"Calgary, AB, Canada",Canada
"Norman ""Heck"" Fowler",G,14-10-1892,"Saskatoon, SK, Canada",Canada,1924-1925,7,0,0,0,0,1,"Saskatoon, SK, Canada",Canada
"Norman ""Odie"" Lowe",C,15-04-1928,"Winnipeg, MB, Canada",Canada,1948-1950,4,1,1,2,0,2,"Winnipeg, MB, Canada",Canada
Norman Himes,C,13-04-1903,"Galt, ON, Canada",Canada,1926-1935,402,106,113,219,127,9,"Galt, ON, Canada",Canada
Norman Tustin,L,03-01-1919,"Regina, SK, Canada",Canada,1941-1942,18,2,4,6,0,1,"Regina, SK, Canada",Canada
Normand Aubin,F,26-07-1960,"Saint-Leonard, QC, Canada",Canada,1981-1983,69,18,13,31,30,2,"Saint-Leonard, QC, Canada",Canada
Normand Baron,F,15-12-1957,"Verdun, QC, Canada",Canada,1983-1986,27,2,0,2,51,2,"Verdun, QC, Canada",Canada
Normand Lacombe,R,18-10-1964,"Pierrefonds, QC, Canada",Canada,1984-1991,319,53,62,115,196,7,"Pierrefonds, QC, Canada",Canada
Normand Leveille,F,10-01-1963,"Montreal, QC, Canada",Canada,1981-1983,75,17,25,42,49,2,"Montreal, QC, Canada",Canada
Normand Rochefort,D,28-01-1961,"Quebec, QC, Canada",Canada,1980-1994,598,39,119,158,570,13,"Quebec, QC, Canada",Canada
Normand Shay,D,02-03-1899,"Huntsville, ON, Canada",Canada,1924-1926,53,5,2,7,34,2,"Huntsville, ON, Canada",Canada
Normie Smith,G,18-03-1908,"Toronto, ON, Canada",Canada,1931-1945,175,0,0,0,0,7,"Toronto, ON, Canada",Canada
Odie Cleghorn,R,19-09-1891,"Montreal, QC, Canada",Canada,1918-1928,179,95,29,124,147,10,"Montreal, QC, Canada",Canada
Olen Zellweger,D,10-09-2003,"Calgary, AB, Canada",Canada,2023-2026,164,16,35,51,58,3,"Calgary, AB, Canada",Canada
Oliver Bonk,D,09-01-2005,"Ottawa, ON, Canada",Canada,2025-2026,1,1,1,2,0,1,"Ottawa, ON, Canada",Canada
Olivier Magnan,D,01-05-1986,"Sherbrooke, QC, Canada",Canada,2010-2011,18,0,0,0,4,1,"Sherbrooke, QC, Canada",Canada
Olivier Michaud,G,14-09-1983,"Beloeil, QC, Canada",Canada,2001-2002,1,0,0,0,0,1,"Beloeil, QC, Canada",Canada
Olivier Rodrigue,G,06-07-2000,"Chicoutimi, QC, Canada",Canada,2024-2025,2,0,0,0,0,1,"Chicoutimi, QC, Canada",Canada
Ollie Reinikka,F,02-08-1901,"Shuswap, BC, Canada",Canada,1926-1927,16,0,0,0,0,1,"Shuswap, BC, Canada",Canada
Orest Kindrachuk,C,14-09-1950,"Nanton, AB, Canada",Canada,1972-1982,508,118,261,379,648,10,"Nanton, AB, Canada",Canada
Orland Kurtenbach,C,07-09-1936,"Cudworth, SK, Canada",Canada,1960-1974,639,119,213,332,628,13,"Cudworth, SK, Canada",Canada
Orval Tessier,C,30-06-1933,"Cornwall, ON, Canada",Canada,1954-1961,59,5,7,12,6,3,"Cornwall, ON, Canada",Canada
"Orville ""Obs"" Heximer",L,16-02-1910,"Niagara Falls, ON, Canada",Canada,1929-1935,85,13,7,20,16,3,"Niagara Falls, ON, Canada",Canada
"Orville ""Rolly"" Roulston",D,12-04-1911,"Toronto, ON, Canada",Canada,1935-1938,24,0,6,6,10,3,"Toronto, ON, Canada",Canada
"Oscar ""Ossie"" Asmundson",R,17-11-1908,"Red Deer, AB, Canada",Canada,1932-1938,111,11,23,34,30,5,"Red Deer, AB, Canada",Canada
Oscar Aubuchon,L,01-01-1917,"Saint-Hyacinthe, QC, Canada",Canada,1942-1944,50,20,12,32,4,2,"Saint-Hyacinthe, QC, Canada",Canada
Owen Beck,C,03-02-2004,"Port Hope, ON, Canada",Canada,2022-2026,28,1,1,2,6,3,"Port Hope, ON, Canada",Canada
Owen Fussey,L,02-04-1983,"Winnipeg, MB, Canada",Canada,2003-2004,4,0,1,1,0,1,"Winnipeg, MB, Canada",Canada
Owen Pickering,D,27-01-2004,"St. Adolphe, MB, Canada",Canada,2024-2026,29,1,2,3,8,2,"St. Adolphe, MB, Canada",Canada
Owen Power,D,22-11-2002,"Mississauga, ON, Canada",Canada,2021-2026,323,27,113,140,86,5,"Mississauga, ON, Canada",Canada
Owen Sillinger,C,23-09-1997,"Regina, SK, Canada",Canada,2024-2025,1,0,0,0,2,1,"Regina, SK, Canada",Canada
Owen Tippett,R,16-02-1999,"Peterborough, ON, Canada",Canada,2017-2026,428,121,115,236,94,7,"Peterborough, ON, Canada",Canada
Ozzy Wiesblatt,C,09-03-2002,"Calgary, AB, Canada",Canada,2024-2026,45,1,5,6,38,2,"Calgary, AB, Canada",Canada
P.A. Parenteau,R,24-03-1983,"Hull, QC, Canada",Canada,2006-2017,491,114,182,296,342,9,"Hull, QC, Canada",Canada
P.C. Drouin,L,22-04-1974,"Saint-Lambert, QC, Canada",Canada,1996-1997,3,0,0,0,0,1,"Saint-Lambert, QC, Canada",Canada
P.J. Stock,L,26-05-1975,"Montreal, QC, Canada",Canada,1997-2004,235,5,21,26,523,7,"Montreal, QC, Canada",Canada
P.K. Subban,D,13-05-1989,"Toronto, ON, Canada",Canada,2009-2022,834,115,352,467,905,13,"Toronto, ON, Canada",Canada
Parker Kelly,C,14-05-1999,"Camrose, AB, Canada",Canada,2020-2026,339,46,43,89,186,6,"Camrose, AB, Canada",Canada
Parker MacDonald,L,14-06-1933,"Sydney, NS, Canada",Canada,1952-1969,676,144,179,323,253,14,"Sydney, NS, Canada",Canada
Parker Wotherspoon,D,24-08-1997,"Surrey, BC, Canada",Canada,2022-2026,188,4,42,46,100,4,"Surrey, BC, Canada",Canada
Pascal Dupuis,L,07-04-1979,"Laval, QC, Canada",Canada,2000-2016,871,190,219,409,387,15,"Laval, QC, Canada",Canada
Pascal Leclaire,G,07-11-1982,"Repentigny, QC, Canada",Canada,2003-2011,173,0,4,4,8,7,"Repentigny, QC, Canada",Canada
Pascal Pelletier,C,16-06-1983,"Labrador City, NL, Canada",Canada,2007-2014,16,0,0,0,0,3,"Labrador City, NL, Canada",Canada
Pascal Rheaume,C,21-06-1973,"Quebec, QC, Canada",Canada,1996-2006,318,39,52,91,144,9,"Quebec, QC, Canada",Canada
Pascal Trepanier,D,04-09-1973,"Gaspe, QC, Canada",Canada,1997-2003,229,12,22,34,252,6,"Gaspe, QC, Canada",Canada
Pat Boutette,C,01-03-1952,"Windsor, ON, Canada",Canada,1975-1985,756,171,282,453,1354,10,"Windsor, ON, Canada",Canada
Pat Conacher,C,01-05-1959,"Edmonton, AB, Canada",Canada,1979-1996,521,63,76,139,235,13,"Edmonton, AB, Canada",Canada
Pat Egan,D,26-04-1918,"Blackie, AB, Canada",Canada,1939-1951,554,77,153,230,776,11,"Blackie, AB, Canada",Canada
Pat Elynuik,R,30-10-1967,"Foam Lake, SK, Canada",Canada,1987-1996,506,154,188,342,459,9,"Foam Lake, SK, Canada",Canada
Pat Falloon,R,22-09-1972,"Foxwarren, MB, Canada",Canada,1991-2000,575,143,179,322,141,9,"Foxwarren, MB, Canada",Canada
Pat Graham,L,25-05-1961,"Toronto, ON, Canada",Canada,1981-1984,103,11,17,28,136,3,"Toronto, ON, Canada",Canada
Pat Hannigan,L,05-03-1936,"Timmins, ON, Canada",Canada,1959-1969,182,30,39,69,116,5,"Timmins, ON, Canada",Canada
Pat Hickey,F,15-05-1953,"Brantford, ON, Canada",Canada,1975-1985,644,192,212,404,351,10,"Brantford, ON, Canada",Canada
Pat Hughes,F,25-03-1955,"Calgary, AB, Canada",Canada,1977-1987,573,130,128,258,646,10,"Calgary, AB, Canada",Canada
Pat Kavanagh,R,14-03-1979,"Ottawa, ON, Canada",Canada,2000-2006,14,2,0,2,4,4,"Ottawa, ON, Canada",Canada
Pat Lundy,C,31-05-1924,"Saskatoon, SK, Canada",Canada,1945-1951,150,37,32,69,31,5,"Saskatoon, SK, Canada",Canada
Pat MacLeod,D,15-06-1969,"Melfort, SK, Canada",Canada,1990-1996,53,5,13,18,14,4,"Melfort, SK, Canada",Canada
Pat McReavy,C,16-01-1918,"Owen Sound, ON, Canada",Canada,1938-1942,55,5,10,15,4,4,"Owen Sound, ON, Canada",Canada
Pat Murray,L,20-08-1969,"Stratford, ON, Canada",Canada,1990-1992,25,3,1,4,15,2,"Stratford, ON, Canada",Canada
Pat Nolan,L,01-12-1897,"Glace Bay, NS, Canada",Canada,1921-1922,2,0,0,0,0,1,"Glace Bay, NS, Canada",Canada
Pat Price,D,24-03-1955,"Nelson, BC, Canada",Canada,1975-1988,726,43,218,261,1456,13,"Nelson, BC, Canada",Canada
Pat Quinn,D,29-01-1943,"Hamilton, ON, Canada",Canada,1968-1977,606,18,113,131,950,9,"Hamilton, ON, Canada",Canada
